"n","celln5_f","celln5_e","celln5_fe","celln5_fer","celln5_lhi","celln5_cnp","celln5_rand","celln5_rand_lo","celln5_rand_hi","cellm5_f","cellm5_e","cellm5_fe","cellm5_fer","cellm5_lhi","cellm5_cnp","cellm5_rand","cellm5_rand_lo","cellm5_rand_hi","celln10_f","celln10_e","celln10_fe","celln10_fer","celln10_lhi","celln10_cnp","celln10_rand","celln10_rand_lo","celln10_rand_hi","cellm10_f","cellm10_e","cellm10_fe","cellm10_fer","cellm10_lhi","cellm10_cnp","cellm10_rand","cellm10_rand_lo","cellm10_rand_hi"
24,20,14,17,16,NA,NA,13,11,16,1.21052631578947,1.71428571428571,1.41176470588235,1.5,NA,NA,1.84615384615385,1.5,2.18181818181818,24,21,24,24,NA,NA,19,16,22,1,1.14285714285714,1,1,NA,NA,1.26315789473684,1.0952380952381,1.5
23,20,14,16,16,NA,NA,13,11,16,1.15789473684211,1.64285714285714,1.4375,1.4375,NA,NA,1.76923076923077,1.46666666666667,2.09090909090909,23,20,23,23,NA,NA,18,16,21,1,1.15,1,1,NA,NA,1.27777777777778,1.0952380952381,1.46666666666667
22,19,14,16,15,NA,NA,13,10,15,1.16666666666667,1.57142857142857,1.375,1.46666666666667,NA,NA,1.75,1.46666666666667,2.2,22,19,22,22,NA,NA,18,15,20,1,1.15789473684211,1,1,NA,NA,1.23529411764706,1.1,1.46666666666667
21,18,14,16,15,NA,NA,12,10,15,1.17647058823529,1.5,1.3125,1.4,NA,NA,1.75,1.4,2.1,21,19,21,21,NA,NA,17,14,19,1,1.10526315789474,1,1,NA,NA,1.23529411764706,1.10526315789474,1.5
20,17,14,16,14,NA,NA,12,9,15,1.1875,1.42857142857143,1.25,1.42857142857143,NA,NA,1.66666666666667,1.35714285714286,2.11111111111111,20,18,20,20,NA,NA,16,14,19,1,1.11111111111111,1,1,NA,NA,1.25,1.05263157894737,1.46153846153846
19,17,14,15,13,NA,NA,12,9,14,1.125,1.35714285714286,1.26666666666667,1.46153846153846,NA,NA,1.58333333333333,1.35714285714286,2.11111111111111,19,17,19,19,NA,NA,16,13,18,1,1.11764705882353,1,1,NA,NA,1.2,1.05555555555556,1.46153846153846
18,16,14,14,13,NA,NA,11,9,14,1.13333333333333,1.28571428571429,1.28571428571429,1.38461538461538,NA,NA,1.63636363636364,1.28571428571429,2,18,17,18,18,NA,NA,15,13,17,1,1.05882352941176,1,1,NA,NA,1.2,1.05882352941176,1.41666666666667
17,15,13,14,13,NA,NA,11,9,13,1.14285714285714,1.30769230769231,1.21428571428571,1.30769230769231,NA,NA,1.54545454545455,1.25,2,17,16,17,17,NA,NA,14,12,16,1,1.0625,1,1,NA,NA,1.21428571428571,1.0625,1.41666666666667
16,15,13,14,13,NA,NA,11,8,13,1.07142857142857,1.23076923076923,1.14285714285714,1.23076923076923,NA,NA,1.5,1.23076923076923,2,16,16,16,16,NA,NA,14,11,16,1,1,1,1,NA,NA,1.15384615384615,1,1.45454545454545
15,15,12,13,13,9,NA,10,8,12,1,1.25,1.15384615384615,1.15384615384615,1.66666666666667,NA,1.5,1.25,1.875,15,15,15,15,12,NA,13,11,15,1,1,1,1,1.25,NA,1.15384615384615,1,1.36363636363636
14,14,11,13,13,NA,NA,10,8,12,1,1.27272727272727,1.07692307692308,1.07692307692308,NA,NA,1.4,1.16666666666667,1.85714285714286,14,14,14,14,NA,NA,12,10,14,1,1,1,1,NA,NA,1.16666666666667,1,1.4
13,13,10,12,12,NA,NA,9,7,11,1,1.3,1.08333333333333,1.08333333333333,NA,NA,1.44444444444444,1.18181818181818,1.85714285714286,13,13,13,13,NA,NA,12,9,13,1,1,1,1,NA,NA,1.09090909090909,1,1.44444444444444
